dimension,value,count
interaction_code,CAU,18
interaction_code,DAN,34
interaction_code,LOW_MOD,15
interaction_code,SELF,33
interaction_code,UNK,458
interaction_code,UNS,3
origin,explicit,37
origin,fallback,33
origin,unknown,458
origin,self,33
mechanism_category,serotonergic,9
mechanism_category,maoi,0
mechanism_category,qt_prolongation,1
mechanism_category,sympathomimetic,1
mechanism_category,cns_depressant,0
mechanism_category,anticholinergic,0
mechanism_category,dopaminergic,0
mechanism_category,glutamatergic,0
mechanism_category,gabaergic,0
mechanism_category,stimulant_stack,1
mechanism_category,psychedelic_potentiation,0
mechanism_category,cardiovascular_load,3
mechanism_category,unknown,546
