substance_a_id,substance_b_id,pair_key,origin,interaction_code,interaction_label,risk_scale,summary,confidence,mechanism,mechanism_category,timing,evidence_gaps,evidence_tier,field_notes,sources,source_refs,source_fingerprint
ayahuasca,ayahuasca,ayahuasca|ayahuasca,self,SELF,Same Entity / N-A,-1,Same entity selected; this is not an interaction pair.,n/a,,unknown,,,,,n/a,not_available,b5b0768226f40e6af798930d183da3215b33a06828f62399ea2303cb27fee6c5
ayahuasca,psilocybin,ayahuasca|psilocybin,explicit,CAU,Caution / Moderate Risk,3,"Not clearly toxic in the way ayahuasca plus SSRIs or MDMA can be, but same-session overlap is a strong intensifier and can become operationally unsafe.",medium,"Harmala-mediated MAO-A inhibition may prolong psilocin exposure while both medicines strongly activate 5-HT2A-mediated psychedelic effects. The main risk is stacked intensity, blood-pressure load, vomiting, panic, and behavioral disorganization rather than a well-documented serotonergic crisis.",unknown,A 24-hour gap is a bare minimum after ayahuasca. The research update leans toward 36-48 hours as a more conservative margin when harmala exposure was strong or repeated.,"There is still no direct psilocin-under-harmala PK dataset, so much of the spacing guidance remains mechanistic.",MAOI pharmacology + secondary review + field guidance,,entheogen-interactions-research-update; Ayahuasca and Drug Interaction.pdf (pharmahuasca section),entheogen_interactions_research_update|malcolm_ayahuasca_drug_interaction_2022,d30fd2f7cad9a4c835af7fbc23d4f755108340eb81ecb22c09f9d6b77ee3aa1c
ayahuasca,nn_dmt,ayahuasca|nn_dmt,explicit,CAU,Caution / Moderate Risk,3,"This is the basic ayahuasca/pharmahuasca interaction at oral doses, but layering extra smoked or vaped DMT on top of ayahuasca meaningfully raises intensity and can become unsafe at high combined loads.",medium,"Ayahuasca's harmala alkaloids reversibly inhibit MAO-A and prolong DMT exposure. The main issue is not a mysterious new toxic syndrome but sharply increased total psychedelic load, longer duration, and bigger cardiovascular and behavioral swings when extra DMT is added during peak ayahuasca.",cardiovascular_load,"Ayahuasca should still be treated as conferring meaningful MAO-A inhibition for about 24 hours, with a more conservative 24-48 hour washout after heavy or repeated dosing.","Formal data exist for oral DMT plus harmalas, but not for stacked smoked/vaped DMT during an ayahuasca session.",formal ayahuasca pharmacology + PK data + field extrapolation,,entheogen-interactions-research-update; Ayahuasca and Drug Interaction.pdf (summary slide text),entheogen_interactions_research_update|malcolm_ayahuasca_drug_interaction_2022,d30fd2f7cad9a4c835af7fbc23d4f755108340eb81ecb22c09f9d6b77ee3aa1c
ayahuasca,five_meo_dmt,ayahuasca|five_meo_dmt,explicit,DAN,Dangerous / Contraindicated,5,Source explicitly states 5-MeO-DMT may be dangerous with MAOIs.,high,,unknown,,,,,Ayahuasca and Drug Interaction.pdf (summary slide text),malcolm_ayahuasca_drug_interaction_2022,85c41eaaf8958355ddff5018d2c07eadad0264d22cd983c42b51eae329ee4e66
ayahuasca,mescaline_peyote,ayahuasca|mescaline_peyote,explicit,CAU,Caution / Moderate Risk,3,"Phenethylamine-style cardiovascular load makes full same-session combinations unsafe in practice; if sequenced, 24 hours looks like a bare minimum rather than a comfortable margin.",medium,"Mescaline is more sympathomimetic than psilocybin or DMT. Harmala-mediated MAO inhibition may slow mescaline clearance and prolong stimulation, making blood-pressure and rhythm stress the dominant concern.",sympathomimetic,A 24-hour gap is only a minimal pharmacology-based estimate. The research update strongly favors 48-72 hours after ayahuasca before significant mescaline work.,Direct human mescaline-under-harmala data are essentially absent; current guidance is mostly mechanistic plus field conservatism.,mechanistic inference + MAOI pharmacology + field guidance,,entheogen-interactions-research-update; Ayahuasca and Drug Interaction.pdf (The Good slide),entheogen_interactions_research_update|malcolm_ayahuasca_drug_interaction_2022,d30fd2f7cad9a4c835af7fbc23d4f755108340eb81ecb22c09f9d6b77ee3aa1c
ayahuasca,yopo,ayahuasca|yopo,explicit,DAN,Dangerous / Contraindicated,5,Concurrent ayahuasca plus yopo should be treated as contraindicated because bufotenine/5-substituted tryptamine exposure under MAO inhibition is poorly studied and plausibly high-risk.,medium,"Yopo preparations are often bufotenine-dominant and may contain small amounts of DMT or 5-MeO-DMT depending on material and preparation. Ayahuasca's MAO-A inhibition can increase exposure to 5-substituted tryptamines, which is exactly the class that underground and ethnographic guidance treats most cautiously.",unknown,,"Human data are almost entirely absent. Current guidance is built from pharmacology, ethnographic negative precedent, and field caution rather than trials.",mechanistic inference + ethnographic precedent + underground harm-reduction consensus,,entheogen-interactions-research-update; Ayahuasca and Drug Interaction.pdf (Good combinations caveat),entheogen_interactions_research_update|malcolm_ayahuasca_drug_interaction_2022,d30fd2f7cad9a4c835af7fbc23d4f755108340eb81ecb22c09f9d6b77ee3aa1c
ayahuasca,lsd,ayahuasca|lsd,explicit,LOW_MOD,"Low Risk, Effect Modulation",2,Listed in lower-risk ceremonial/recreational combinations.,medium,,unknown,,,,,Ayahuasca and Drug Interaction.pdf (The Good slide),malcolm_ayahuasca_drug_interaction_2022,85c41eaaf8958355ddff5018d2c07eadad0264d22cd983c42b51eae329ee4e66
ayahuasca,salvia,ayahuasca|salvia,fallback,CAU,Caution / Moderate Risk,3,"Salvia is non-serotonergic, but same-session use with classic psychedelics can become unsafe because disorientation, dysphoria, and accident risk stack badly.",low,"Salvinorin A is a kappa-opioid agonist rather than a classic serotonergic psychedelic. The overlap is at autonomic activation and severe state disruption, not receptor-level serotonin toxicity.",serotonergic,,"Formal combination studies are absent, so this remains a precautionary field rule.",mechanistic inference + salvia risk literature,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
ayahuasca,belladonna,ayahuasca|belladonna,fallback,DAN,Dangerous / Contraindicated,5,Tropane-rich deliriants such as belladonna and Brugmansia should be treated as contraindicated with psychedelics because anticholinergic toxidrome and psychedelic disorganization are a dangerous mix.,medium,"Belladonna and Brugmansia contain atropine-, scopolamine-, and hyoscyamine-like alkaloids that can produce tachycardia, hyperthermia, delirium, urinary retention, arrhythmia, and profound confusion. Combining that with serotonergic psychedelic effects is a worst-case operational scenario.",unknown,,"Controlled co-use studies are effectively impossible, so toxicology cases and ethnographic caution will remain the evidence base.",toxicology case literature + ethnographic caution,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
ayahuasca,brugmansia,ayahuasca|brugmansia,fallback,DAN,Dangerous / Contraindicated,5,Tropane-rich deliriants such as belladonna and Brugmansia should be treated as contraindicated with psychedelics because anticholinergic toxidrome and psychedelic disorganization are a dangerous mix.,medium,"Belladonna and Brugmansia contain atropine-, scopolamine-, and hyoscyamine-like alkaloids that can produce tachycardia, hyperthermia, delirium, urinary retention, arrhythmia, and profound confusion. Combining that with serotonergic psychedelic effects is a worst-case operational scenario.",unknown,,"Controlled co-use studies are effectively impossible, so toxicology cases and ethnographic caution will remain the evidence base.",toxicology case literature + ethnographic caution,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
